2026-04-24 09:37: Experiment log path in: ./saved_models/NYSE/
2026-04-24 09:40: **********Val Epoch 30: average Loss: 0.065922
2026-04-24 09:40: Train Epoch 31: 0/74 Loss: 0.290804
2026-04-24 09:40: Train Epoch 31: 20/74 Loss: 0.089310
2026-04-24 09:40: Train Epoch 31: 40/74 Loss: 0.012551
2026-04-24 09:40: Train Epoch 31: 60/74 Loss: 0.120602
2026-04-24 09:40: **********Train Epoch 31: averaged Loss: 0.077700
2026-04-24 09:40: **********Val Epoch 31: average Loss: 0.025085
2026-04-24 09:40: Train Epoch 32: 0/74 Loss: 0.305397
2026-04-24 09:40: Train Epoch 32: 20/74 Loss: 0.057046
2026-04-24 09:40: Train Epoch 32: 40/74 Loss: 0.013187
2026-04-24 09:40: Train Epoch 32: 60/74 Loss: 0.129910
2026-04-24 09:40: **********Train Epoch 32: averaged Loss: 0.085226
2026-04-24 09:40: **********Val Epoch 32: average Loss: 0.034117
2026-04-24 09:40: Train Epoch 33: 0/74 Loss: 0.282429
2026-04-24 09:40: Train Epoch 33: 20/74 Loss: 0.049445
2026-04-24 09:40: Train Epoch 33: 40/74 Loss: 0.008099
2026-04-24 09:40: Train Epoch 33: 60/74 Loss: 0.123157
2026-04-24 09:40: **********Train Epoch 33: averaged Loss: 0.071444
2026-04-24 09:40: **********Val Epoch 33: average Loss: 0.018781
2026-04-24 09:40: Train Epoch 34: 0/74 Loss: 0.205318
2026-04-24 09:40: Train Epoch 34: 20/74 Loss: 0.066144
2026-04-24 09:40: Train Epoch 34: 40/74 Loss: 0.057519
2026-04-24 09:40: Train Epoch 34: 60/74 Loss: 0.066169
2026-04-24 09:40: **********Train Epoch 34: averaged Loss: 0.066902
2026-04-24 09:40: **********Val Epoch 34: average Loss: 0.066676
2026-04-24 09:40: Train Epoch 35: 0/74 Loss: 0.322116
2026-04-24 09:40: Train Epoch 35: 20/74 Loss: 0.077523
2026-04-24 09:40: Train Epoch 35: 40/74 Loss: 0.023204
2026-04-24 09:40: Train Epoch 35: 60/74 Loss: 0.139394
2026-04-24 09:41: **********Train Epoch 35: averaged Loss: 0.083995
2026-04-24 09:41: **********Val Epoch 35: average Loss: 0.040873
2026-04-24 09:41: Train Epoch 36: 0/74 Loss: 0.245749
2026-04-24 09:41: Train Epoch 36: 20/74 Loss: 0.104272
2026-04-24 09:41: Train Epoch 36: 40/74 Loss: 0.021042
2026-04-24 09:41: Train Epoch 36: 60/74 Loss: 0.066344
2026-04-24 09:41: **********Train Epoch 36: averaged Loss: 0.064690
2026-04-24 09:41: **********Val Epoch 36: average Loss: 0.049469
2026-04-24 09:41: Train Epoch 37: 0/74 Loss: 0.225155
2026-04-24 09:41: Train Epoch 37: 20/74 Loss: 0.077409
2026-04-24 09:41: Train Epoch 37: 40/74 Loss: 0.011934
2026-04-24 09:41: Train Epoch 37: 60/74 Loss: 0.095288
2026-04-24 09:41: **********Train Epoch 37: averaged Loss: 0.063032
2026-04-24 09:41: **********Val Epoch 37: average Loss: 0.078382
2026-04-24 09:41: Train Epoch 38: 0/74 Loss: 0.220323
2026-04-24 09:41: Train Epoch 38: 20/74 Loss: 0.077238
2026-04-24 09:41: Train Epoch 38: 40/74 Loss: 0.013007
2026-04-24 09:41: Train Epoch 38: 60/74 Loss: 0.091218
2026-04-24 09:41: **********Train Epoch 38: averaged Loss: 0.058172
2026-04-24 09:41: **********Val Epoch 38: average Loss: 0.069821
2026-04-24 09:41: Train Epoch 39: 0/74 Loss: 0.147917
2026-04-24 09:41: Train Epoch 39: 20/74 Loss: 0.005421
2026-04-24 09:41: Train Epoch 39: 40/74 Loss: 0.007486
2026-04-24 09:41: Train Epoch 39: 60/74 Loss: 0.051072
2026-04-24 09:41: **********Train Epoch 39: averaged Loss: 0.051746
2026-04-24 09:41: **********Val Epoch 39: average Loss: 0.079205
2026-04-24 09:41: Train Epoch 40: 0/74 Loss: 0.128387
2026-04-24 09:41: Train Epoch 40: 20/74 Loss: 0.050309
2026-04-24 09:41: Train Epoch 40: 40/74 Loss: 0.020259
2026-04-24 09:41: Train Epoch 40: 60/74 Loss: 0.080435
2026-04-24 09:41: **********Train Epoch 40: averaged Loss: 0.037454
2026-04-24 09:41: **********Val Epoch 40: average Loss: 0.031031
2026-04-24 09:41: Train Epoch 41: 0/74 Loss: 0.063676
2026-04-24 09:41: Train Epoch 41: 20/74 Loss: 0.007704
2026-04-24 09:41: Train Epoch 41: 40/74 Loss: 0.015437
2026-04-24 09:41: Train Epoch 41: 60/74 Loss: 0.029648
2026-04-24 09:41: **********Train Epoch 41: averaged Loss: 0.029977
2026-04-24 09:41: **********Val Epoch 41: average Loss: 0.033743
2026-04-24 09:41: Train Epoch 42: 0/74 Loss: 0.052796
2026-04-24 09:41: Train Epoch 42: 20/74 Loss: 0.019481
2026-04-24 09:41: Train Epoch 42: 40/74 Loss: 0.007444
2026-04-24 09:41: Train Epoch 42: 60/74 Loss: 0.059787
2026-04-24 09:41: **********Train Epoch 42: averaged Loss: 0.033344
2026-04-24 09:41: **********Val Epoch 42: average Loss: 0.074069
2026-04-24 09:41: Train Epoch 43: 0/74 Loss: 0.072014
2026-04-24 09:41: Train Epoch 43: 20/74 Loss: 0.054016
2026-04-24 09:41: Train Epoch 43: 40/74 Loss: 0.008688
2026-04-24 09:41: Train Epoch 43: 60/74 Loss: 0.071262
2026-04-24 09:41: **********Train Epoch 43: averaged Loss: 0.039639
2026-04-24 09:41: **********Val Epoch 43: average Loss: 0.084459
2026-04-24 09:41: Train Epoch 44: 0/74 Loss: 0.091994
2026-04-24 09:41: Train Epoch 44: 20/74 Loss: 0.028234
2026-04-24 09:41: Train Epoch 44: 40/74 Loss: 0.023557
2026-04-24 09:42: Train Epoch 44: 60/74 Loss: 0.015248
2026-04-24 09:42: **********Train Epoch 44: averaged Loss: 0.029880
2026-04-24 09:42: **********Val Epoch 44: average Loss: 0.040447
2026-04-24 09:42: Train Epoch 45: 0/74 Loss: 0.020516
2026-04-24 09:42: Train Epoch 45: 20/74 Loss: 0.011351
2026-04-24 09:42: Train Epoch 45: 40/74 Loss: 0.023919
2026-04-24 09:42: Train Epoch 45: 60/74 Loss: 0.054431
2026-04-24 09:42: **********Train Epoch 45: averaged Loss: 0.028279
2026-04-24 09:42: **********Val Epoch 45: average Loss: 0.065079
2026-04-24 09:42: Train Epoch 46: 0/74 Loss: 0.094650
2026-04-24 09:42: Train Epoch 46: 20/74 Loss: 0.006452
2026-04-24 09:42: Train Epoch 46: 40/74 Loss: 0.016072
2026-04-24 09:42: Train Epoch 46: 60/74 Loss: 0.022836
2026-04-24 09:42: **********Train Epoch 46: averaged Loss: 0.030089
2026-04-24 09:42: **********Val Epoch 46: average Loss: 0.028649
2026-04-24 09:42: Train Epoch 47: 0/74 Loss: 0.067497
2026-04-24 09:42: Train Epoch 47: 20/74 Loss: 0.024520
2026-04-24 09:42: Train Epoch 47: 40/74 Loss: 0.008690
2026-04-24 09:42: Train Epoch 47: 60/74 Loss: 0.078287
2026-04-24 09:42: **********Train Epoch 47: averaged Loss: 0.034403
2026-04-24 09:42: **********Val Epoch 47: average Loss: 0.066952
2026-04-24 09:42: Train Epoch 48: 0/74 Loss: 0.132956
2026-04-24 09:42: Train Epoch 48: 20/74 Loss: 0.019489
2026-04-24 09:42: Train Epoch 48: 40/74 Loss: 0.007654
2026-04-24 09:42: Train Epoch 48: 60/74 Loss: 0.048371
2026-04-24 09:42: **********Train Epoch 48: averaged Loss: 0.041711
2026-04-24 09:42: **********Val Epoch 48: average Loss: 0.054691
