2026-04-20 21:33: Experiment log path in: ./saved_models/DJIA/
2026-04-20 21:34: Train Epoch 42: 0/37 Loss: 0.051835
2026-04-20 21:34: Train Epoch 42: 20/37 Loss: 0.007598
2026-04-20 21:34: **********Train Epoch 42: averaged Loss: 0.027174
2026-04-20 21:34: **********Val Epoch 42: average Loss: 0.014182
2026-04-20 21:34: Train Epoch 43: 0/37 Loss: 0.043586
2026-04-20 21:34: Train Epoch 43: 20/37 Loss: 0.008879
2026-04-20 21:34: **********Train Epoch 43: averaged Loss: 0.026088
2026-04-20 21:34: **********Val Epoch 43: average Loss: 0.054510
2026-04-20 21:34: Train Epoch 44: 0/37 Loss: 0.111747
2026-04-20 21:34: Train Epoch 44: 20/37 Loss: 0.051911
2026-04-20 21:34: **********Train Epoch 44: averaged Loss: 0.043213
2026-04-20 21:34: **********Val Epoch 44: average Loss: 0.061119
2026-04-20 21:34: Train Epoch 45: 0/37 Loss: 0.116401
2026-04-20 21:34: Train Epoch 45: 20/37 Loss: 0.021778
2026-04-20 21:34: **********Train Epoch 45: averaged Loss: 0.032305
2026-04-20 21:34: **********Val Epoch 45: average Loss: 0.022744
2026-04-20 21:34: Train Epoch 46: 0/37 Loss: 0.096182
2026-04-20 21:34: Train Epoch 46: 20/37 Loss: 0.015916
2026-04-20 21:34: **********Train Epoch 46: averaged Loss: 0.031107
2026-04-20 21:34: **********Val Epoch 46: average Loss: 0.017915
2026-04-20 21:34: Train Epoch 47: 0/37 Loss: 0.103184
2026-04-20 21:34: Train Epoch 47: 20/37 Loss: 0.021387
2026-04-20 21:35: **********Train Epoch 47: averaged Loss: 0.028988
2026-04-20 21:35: **********Val Epoch 47: average Loss: 0.029115
2026-04-20 21:35: Train Epoch 48: 0/37 Loss: 0.154719
2026-04-20 21:35: Train Epoch 48: 20/37 Loss: 0.010097
2026-04-20 21:35: **********Train Epoch 48: averaged Loss: 0.049776
2026-04-20 21:35: **********Val Epoch 48: average Loss: 0.036239
2026-04-20 21:35: Train Epoch 49: 0/37 Loss: 0.132650
2026-04-20 21:35: Train Epoch 49: 20/37 Loss: 0.008997
2026-04-20 21:35: **********Train Epoch 49: averaged Loss: 0.038861
2026-04-20 21:35: **********Val Epoch 49: average Loss: 0.061221
2026-04-20 21:35: Train Epoch 50: 0/37 Loss: 0.018257
2026-04-20 21:35: Train Epoch 50: 20/37 Loss: 0.028891
2026-04-20 21:35: **********Train Epoch 50: averaged Loss: 0.035853
2026-04-20 21:35: **********Val Epoch 50: average Loss: 0.036595
2026-04-20 21:35: Train Epoch 51: 0/37 Loss: 0.051220
2026-04-20 21:35: Train Epoch 51: 20/37 Loss: 0.006542
2026-04-20 21:35: **********Train Epoch 51: averaged Loss: 0.044565
2026-04-20 21:35: **********Val Epoch 51: average Loss: 0.056440
2026-04-20 21:35: Train Epoch 52: 0/37 Loss: 0.023260
2026-04-20 21:35: Train Epoch 52: 20/37 Loss: 0.041534
2026-04-20 21:35: **********Train Epoch 52: averaged Loss: 0.028395
2026-04-20 21:35: **********Val Epoch 52: average Loss: 0.009384
2026-04-20 21:35: *********************************Current best model saved!
2026-04-20 21:35: Train Epoch 53: 0/37 Loss: 0.122165
2026-04-20 21:35: Train Epoch 53: 20/37 Loss: 0.011592
2026-04-20 21:35: **********Train Epoch 53: averaged Loss: 0.030792
2026-04-20 21:35: **********Val Epoch 53: average Loss: 0.034916
2026-04-20 21:35: Train Epoch 54: 0/37 Loss: 0.102731
2026-04-20 21:35: Train Epoch 54: 20/37 Loss: 0.033523
2026-04-20 21:35: **********Train Epoch 54: averaged Loss: 0.032974
2026-04-20 21:35: **********Val Epoch 54: average Loss: 0.054098
2026-04-20 21:35: Train Epoch 55: 0/37 Loss: 0.126686
2026-04-20 21:35: Train Epoch 55: 20/37 Loss: 0.028762
2026-04-20 21:35: **********Train Epoch 55: averaged Loss: 0.042800
2026-04-20 21:35: **********Val Epoch 55: average Loss: 0.067057
2026-04-20 21:35: Train Epoch 56: 0/37 Loss: 0.133787
2026-04-20 21:35: Train Epoch 56: 20/37 Loss: 0.013707
2026-04-20 21:35: **********Train Epoch 56: averaged Loss: 0.043623
2026-04-20 21:35: **********Val Epoch 56: average Loss: 0.042885
2026-04-20 21:35: Train Epoch 57: 0/37 Loss: 0.099675
2026-04-20 21:35: Train Epoch 57: 20/37 Loss: 0.031641
2026-04-20 21:35: **********Train Epoch 57: averaged Loss: 0.032788
