2026-05-18 10:48: Experiment log path in: /root/data-tmp/zzh/SAMBA/saved_models/NYSE_82/
2026-05-18 10:49: Train Epoch 24: 60/74 Loss: 0.074141
2026-05-18 10:49: **********Train Epoch 24: averaged Loss: 0.110977
2026-05-18 10:49: **********Val Epoch 24: average Loss: 0.223614
2026-05-18 10:49: Train Epoch 25: 0/74 Loss: 0.341192
2026-05-18 10:49: Train Epoch 25: 20/74 Loss: 0.052493
2026-05-18 10:49: Train Epoch 25: 40/74 Loss: 0.028170
2026-05-18 10:49: Train Epoch 25: 60/74 Loss: 0.036931
2026-05-18 10:49: **********Train Epoch 25: averaged Loss: 0.101754
2026-05-18 10:49: **********Val Epoch 25: average Loss: 0.196645
2026-05-18 10:49: Train Epoch 26: 0/74 Loss: 0.313173
2026-05-18 10:49: Train Epoch 26: 20/74 Loss: 0.031441
2026-05-18 10:49: Train Epoch 26: 40/74 Loss: 0.014532
2026-05-18 10:50: Train Epoch 26: 60/74 Loss: 0.039329
2026-05-18 10:50: **********Train Epoch 26: averaged Loss: 0.106128
2026-05-18 10:50: **********Val Epoch 26: average Loss: 0.224862
2026-05-18 10:50: Train Epoch 27: 0/74 Loss: 0.334598
2026-05-18 10:50: Train Epoch 27: 20/74 Loss: 0.060439
2026-05-18 10:50: Train Epoch 27: 40/74 Loss: 0.024061
2026-05-18 10:50: Train Epoch 27: 60/74 Loss: 0.054923
2026-05-18 10:50: **********Train Epoch 27: averaged Loss: 0.104588
2026-05-18 10:50: **********Val Epoch 27: average Loss: 0.222677
2026-05-18 10:50: Train Epoch 28: 0/74 Loss: 0.329785
2026-05-18 10:50: Train Epoch 28: 20/74 Loss: 0.034480
2026-05-18 10:50: Train Epoch 28: 40/74 Loss: 0.028267
2026-05-18 10:50: Train Epoch 28: 60/74 Loss: 0.064349
2026-05-18 10:50: **********Train Epoch 28: averaged Loss: 0.102739
2026-05-18 10:50: **********Val Epoch 28: average Loss: 0.221492
2026-05-18 10:50: Train Epoch 29: 0/74 Loss: 0.335092
2026-05-18 10:50: Train Epoch 29: 20/74 Loss: 0.035844
2026-05-18 10:50: Train Epoch 29: 40/74 Loss: 0.033915
2026-05-18 10:50: Train Epoch 29: 60/74 Loss: 0.058072
2026-05-18 10:50: **********Train Epoch 29: averaged Loss: 0.104880
2026-05-18 10:50: **********Val Epoch 29: average Loss: 0.245110
2026-05-18 10:50: Train Epoch 30: 0/74 Loss: 0.301821
2026-05-18 10:50: Train Epoch 30: 20/74 Loss: 0.023249
2026-05-18 10:50: Train Epoch 30: 40/74 Loss: 0.026323
2026-05-18 10:50: Train Epoch 30: 60/74 Loss: 0.051020
2026-05-18 10:50: **********Train Epoch 30: averaged Loss: 0.100788
2026-05-18 10:50: **********Val Epoch 30: average Loss: 0.234316
2026-05-18 10:50: Train Epoch 31: 0/74 Loss: 0.316064
2026-05-18 10:50: Train Epoch 31: 20/74 Loss: 0.023136
2026-05-18 10:50: Train Epoch 31: 40/74 Loss: 0.033585
2026-05-18 10:50: Train Epoch 31: 60/74 Loss: 0.061875
2026-05-18 10:50: **********Train Epoch 31: averaged Loss: 0.101741
2026-05-18 10:50: **********Val Epoch 31: average Loss: 0.203717
2026-05-18 10:50: Train Epoch 32: 0/74 Loss: 0.322911
2026-05-18 10:50: Train Epoch 32: 20/74 Loss: 0.043111
2026-05-18 10:50: Train Epoch 32: 40/74 Loss: 0.018764
2026-05-18 10:50: Train Epoch 32: 60/74 Loss: 0.055674
2026-05-18 10:50: **********Train Epoch 32: averaged Loss: 0.102215
2026-05-18 10:50: **********Val Epoch 32: average Loss: 0.236678
2026-05-18 10:50: Train Epoch 33: 0/74 Loss: 0.319474
2026-05-18 10:50: Train Epoch 33: 20/74 Loss: 0.015067
2026-05-18 10:50: Train Epoch 33: 40/74 Loss: 0.037201
2026-05-18 10:50: Train Epoch 33: 60/74 Loss: 0.068404
2026-05-18 10:50: **********Train Epoch 33: averaged Loss: 0.102357
2026-05-18 10:50: **********Val Epoch 33: average Loss: 0.204778
2026-05-18 10:50: Train Epoch 34: 0/74 Loss: 0.323760
2026-05-18 10:50: Train Epoch 34: 20/74 Loss: 0.025468
2026-05-18 10:50: Train Epoch 34: 40/74 Loss: 0.025360
2026-05-18 10:50: Train Epoch 34: 60/74 Loss: 0.053764
2026-05-18 10:50: **********Train Epoch 34: averaged Loss: 0.101572
2026-05-18 10:50: **********Val Epoch 34: average Loss: 0.241031
2026-05-18 10:50: Train Epoch 35: 0/74 Loss: 0.314662
2026-05-18 10:50: Train Epoch 35: 20/74 Loss: 0.006127
2026-05-18 10:50: Train Epoch 35: 40/74 Loss: 0.019674
2026-05-18 10:50: Train Epoch 35: 60/74 Loss: 0.038710
2026-05-18 10:50: **********Train Epoch 35: averaged Loss: 0.098760
2026-05-18 10:50: **********Val Epoch 35: average Loss: 0.215844
2026-05-18 10:50: Train Epoch 36: 0/74 Loss: 0.327600
2026-05-18 10:50: Train Epoch 36: 20/74 Loss: 0.018773
