2026-04-27 13:09: Experiment log path in: ./saved_models/NASDAQ/
2026-04-27 13:11: Train Epoch 28: 0/74 Loss: 0.160701
2026-04-27 13:11: Train Epoch 28: 20/74 Loss: 0.051089
2026-04-27 13:11: Train Epoch 28: 40/74 Loss: 0.055527
2026-04-27 13:11: Train Epoch 28: 60/74 Loss: 0.063699
2026-04-27 13:11: **********Train Epoch 28: averaged Loss: 0.046413
2026-04-27 13:11: **********Val Epoch 28: average Loss: 0.033007
2026-04-27 13:11: Train Epoch 29: 0/74 Loss: 0.177944
2026-04-27 13:11: Train Epoch 29: 20/74 Loss: 0.054849
2026-04-27 13:11: Train Epoch 29: 40/74 Loss: 0.064337
2026-04-27 13:11: Train Epoch 29: 60/74 Loss: 0.053984
2026-04-27 13:11: **********Train Epoch 29: averaged Loss: 0.052507
2026-04-27 13:11: **********Val Epoch 29: average Loss: 0.040266
2026-04-27 13:11: Train Epoch 30: 0/74 Loss: 0.131690
2026-04-27 13:11: Train Epoch 30: 20/74 Loss: 0.048611
2026-04-27 13:11: Train Epoch 30: 40/74 Loss: 0.043311
2026-04-27 13:11: Train Epoch 30: 60/74 Loss: 0.062677
2026-04-27 13:11: **********Train Epoch 30: averaged Loss: 0.050361
2026-04-27 13:11: **********Val Epoch 30: average Loss: 0.036469
2026-04-27 13:11: Train Epoch 31: 0/74 Loss: 0.178181
2026-04-27 13:11: Train Epoch 31: 20/74 Loss: 0.027811
2026-04-27 13:11: Train Epoch 31: 40/74 Loss: 0.048950
2026-04-27 13:11: Train Epoch 31: 60/74 Loss: 0.048993
2026-04-27 13:11: **********Train Epoch 31: averaged Loss: 0.050034
2026-04-27 13:11: **********Val Epoch 31: average Loss: 0.020779
2026-04-27 13:11: Train Epoch 32: 0/74 Loss: 0.232060
2026-04-27 13:11: Train Epoch 32: 20/74 Loss: 0.011229
2026-04-27 13:11: Train Epoch 32: 40/74 Loss: 0.012948
2026-04-27 13:11: Train Epoch 32: 60/74 Loss: 0.046612
2026-04-27 13:11: **********Train Epoch 32: averaged Loss: 0.066454
2026-04-27 13:11: **********Val Epoch 32: average Loss: 0.099393
2026-04-27 13:11: Train Epoch 33: 0/74 Loss: 0.159043
2026-04-27 13:11: Train Epoch 33: 20/74 Loss: 0.055662
2026-04-27 13:11: Train Epoch 33: 40/74 Loss: 0.007073
2026-04-27 13:11: Train Epoch 33: 60/74 Loss: 0.068407
2026-04-27 13:11: **********Train Epoch 33: averaged Loss: 0.057325
2026-04-27 13:11: **********Val Epoch 33: average Loss: 0.054161
2026-04-27 13:11: Train Epoch 34: 0/74 Loss: 0.249048
2026-04-27 13:11: Train Epoch 34: 20/74 Loss: 0.029560
2026-04-27 13:11: Train Epoch 34: 40/74 Loss: 0.006088
2026-04-27 13:11: Train Epoch 34: 60/74 Loss: 0.007565
2026-04-27 13:11: **********Train Epoch 34: averaged Loss: 0.073258
2026-04-27 13:11: **********Val Epoch 34: average Loss: 0.040338
2026-04-27 13:11: Train Epoch 35: 0/74 Loss: 0.126063
2026-04-27 13:11: Train Epoch 35: 20/74 Loss: 0.030500
2026-04-27 13:11: Train Epoch 35: 40/74 Loss: 0.052336
2026-04-27 13:11: Train Epoch 35: 60/74 Loss: 0.011872
2026-04-27 13:11: **********Train Epoch 35: averaged Loss: 0.042244
2026-04-27 13:11: **********Val Epoch 35: average Loss: 0.032947
2026-04-27 13:11: Train Epoch 36: 0/74 Loss: 0.115227
2026-04-27 13:11: Train Epoch 36: 20/74 Loss: 0.034832
2026-04-27 13:11: Train Epoch 36: 40/74 Loss: 0.006989
2026-04-27 13:11: Train Epoch 36: 60/74 Loss: 0.061031
2026-04-27 13:11: **********Train Epoch 36: averaged Loss: 0.048722
2026-04-27 13:11: **********Val Epoch 36: average Loss: 0.019522
2026-04-27 13:11: Train Epoch 37: 0/74 Loss: 0.286554
2026-04-27 13:12: Train Epoch 37: 20/74 Loss: 0.014329
2026-04-27 13:12: Train Epoch 37: 40/74 Loss: 0.013426
2026-04-27 13:12: Train Epoch 37: 60/74 Loss: 0.007116
2026-04-27 13:12: **********Train Epoch 37: averaged Loss: 0.083016
2026-04-27 13:12: **********Val Epoch 37: average Loss: 0.093372
2026-04-27 13:12: Train Epoch 38: 0/74 Loss: 0.172699
2026-04-27 13:12: Train Epoch 38: 20/74 Loss: 0.066880
2026-04-27 13:12: Train Epoch 38: 40/74 Loss: 0.007153
2026-04-27 13:12: Train Epoch 38: 60/74 Loss: 0.064252
2026-04-27 13:12: **********Train Epoch 38: averaged Loss: 0.060555
2026-04-27 13:12: **********Val Epoch 38: average Loss: 0.197558
2026-04-27 13:12: Train Epoch 39: 0/74 Loss: 0.308178
2026-04-27 13:12: Train Epoch 39: 20/74 Loss: 0.071683
2026-04-27 13:12: Train Epoch 39: 40/74 Loss: 0.035450
2026-04-27 13:12: Train Epoch 39: 60/74 Loss: 0.052728
2026-04-27 13:12: **********Train Epoch 39: averaged Loss: 0.093011
2026-04-27 13:12: **********Val Epoch 39: average Loss: 0.072907
2026-04-27 13:12: Train Epoch 40: 0/74 Loss: 0.215193
2026-04-27 13:12: Train Epoch 40: 20/74 Loss: 0.021220
2026-04-27 13:12: Train Epoch 40: 40/74 Loss: 0.073202
2026-04-27 13:12: Train Epoch 40: 60/74 Loss: 0.007514
2026-04-27 13:12: **********Train Epoch 40: averaged Loss: 0.060491
2026-04-27 13:12: **********Val Epoch 40: average Loss: 0.096973
2026-04-27 13:12: Train Epoch 41: 0/74 Loss: 0.084245
2026-04-27 13:12: Train Epoch 41: 20/74 Loss: 0.035523
2026-04-27 13:12: Train Epoch 41: 40/74 Loss: 0.052245
2026-04-27 13:12: Train Epoch 41: 60/74 Loss: 0.073401
2026-04-27 13:12: **********Train Epoch 41: averaged Loss: 0.031747
2026-04-27 13:12: **********Val Epoch 41: average Loss: 0.031870
2026-04-27 13:12: Train Epoch 42: 0/74 Loss: 0.132912
2026-04-27 13:12: Train Epoch 42: 20/74 Loss: 0.025685
2026-04-27 13:12: Train Epoch 42: 40/74 Loss: 0.006622
2026-04-27 13:12: Train Epoch 42: 60/74 Loss: 0.045414
2026-04-27 13:12: **********Train Epoch 42: averaged Loss: 0.047152
2026-04-27 13:12: **********Val Epoch 42: average Loss: 0.022102
2026-04-27 13:12: Train Epoch 43: 0/74 Loss: 0.234428
2026-04-27 13:12: Train Epoch 43: 20/74 Loss: 0.041035
2026-04-27 13:12: Train Epoch 43: 40/74 Loss: 0.013799
2026-04-27 13:12: Train Epoch 43: 60/74 Loss: 0.015637
2026-04-27 13:12: **********Train Epoch 43: averaged Loss: 0.063443
2026-04-27 13:12: **********Val Epoch 43: average Loss: 0.069910
2026-04-27 13:12: Train Epoch 44: 0/74 Loss: 0.120011
2026-04-27 13:12: Train Epoch 44: 20/74 Loss: 0.015983
2026-04-27 13:12: Train Epoch 44: 40/74 Loss: 0.060127
2026-04-27 13:12: Train Epoch 44: 60/74 Loss: 0.053959
2026-04-27 13:12: **********Train Epoch 44: averaged Loss: 0.034046
2026-04-27 13:12: **********Val Epoch 44: average Loss: 0.025699
2026-04-27 13:12: Train Epoch 45: 0/74 Loss: 0.142950
2026-04-27 13:12: Train Epoch 45: 20/74 Loss: 0.043339
2026-04-27 13:12: Train Epoch 45: 40/74 Loss: 0.013998
2026-04-27 13:12: Train Epoch 45: 60/74 Loss: 0.045253
2026-04-27 13:12: **********Train Epoch 45: averaged Loss: 0.046203
2026-04-27 13:12: **********Val Epoch 45: average Loss: 0.056939
2026-04-27 13:12: Train Epoch 46: 0/74 Loss: 0.172844
2026-04-27 13:12: Train Epoch 46: 20/74 Loss: 0.040495
2026-04-27 13:12: Train Epoch 46: 40/74 Loss: 0.050484
2026-04-27 13:12: Train Epoch 46: 60/74 Loss: 0.050592
2026-04-27 13:12: **********Train Epoch 46: averaged Loss: 0.061427
2026-04-27 13:12: **********Val Epoch 46: average Loss: 0.034268
2026-04-27 13:12: Train Epoch 47: 0/74 Loss: 0.233811
2026-04-27 13:12: Train Epoch 47: 20/74 Loss: 0.022800
2026-04-27 13:12: Train Epoch 47: 40/74 Loss: 0.022773
2026-04-27 13:12: Train Epoch 47: 60/74 Loss: 0.043460
2026-04-27 13:12: **********Train Epoch 47: averaged Loss: 0.077888
